country,k_thr,tau,total_segments,rf_deprived_segments,mn_deprived_segments,rf_deprived_pop,mn_deprived_pop,total_pop
niger,3,0.2,4747,3063,760,2531256.9318163916,845406.690634618,4622590.486370739
nigeria,3,0.2,64327,10458,20331,12419246.35713979,34905170.810747996,91597687.98445147
republic_of_congo,3,0.2,3955,2916,89,2402355.444241871,322107.275274014,4109466.966085707
rwanda,3,0.2,1270,334,562,478248.34593383403,810213.872984916,1649343.029407573
senegal,3,0.2,8269,2899,319,2484589.811036333,302173.810674729,8346712.434245584
sierra_leone,3,0.2,1334,345,544,913219.462735249,1808179.3996802447,3190790.4146762565
somalia,3,0.2,7648,5285,559,5402030.855397178,1134615.3558889749,8295293.609712728
south_africa,3,0.2,27136,12318,4525,12148012.599995438,4553991.282414769,30289706.70029247
south_sudan,3,0.2,833,499,181,569345.035959706,277787.481701964,984642.965601156
sudan,3,0.2,16340,10460,1265,8821698.496891912,1374876.551888166,15147905.022114929
tanzania,3,0.2,9739,3481,3148,6658691.269839512,5032154.728732159,14983633.215272397
togo,3,0.2,3041,645,471,621007.888738542,564754.468999824,3367055.130280057
uganda,3,0.2,4645,1612,2738,2156964.525660353,3858115.630421521,6399543.600518564
zambia,3,0.2,6357,1677,1622,1833037.626412265,2361812.004631007,7472185.76578634
zimbabwe,3,0.2,2768,282,698,260893.761653757,708621.8843675919,3101648.1956995917
angola,3,0.3,16222,7429,4579,9490744.786406256,7113103.093295937,20650829.648216836
cameroon,3,0.3,10141,3222,2465,4300646.212809186,3822484.8113539563,15198621.01101642
benin,3,0.3,4612,498,608,398578.99227366,577179.7047964621,4673285.7469121665
burkina_faso,3,0.3,5322,3312,500,3014083.1182127493,491656.453642193,5103500.920221765
botswana,3,0.3,507,27,5,23446.048594085,3463.844435931,549454.002392059
burundi,3,0.3,1348,582,217,624197.862321557,372379.005944349,1714038.352422793
central_african_republic,3,0.3,868,491,320,989593.631405213,874954.51411238,1601841.313697086
chad,3,0.3,3716,712,765,619282.656271341,859405.8238119261,3661678.152726385
ghana,3,0.3,12130,1144,2412,1518667.515258712,3487550.978239038,15943320.202505251
gambia,3,0.3,1505,40,73,27782.571619514998,64107.007267899,1446656.488261111
comoros,3,0.3,220,138,59,156892.55495845797,133664.10102196803,394719.234936952
djibouti,3,0.3,301,155,26,166737.79081241498,31119.885952798,420632.270088937
cote_d_ivoire,3,0.3,8162,2167,1172,2345349.917980085,1801338.717768242,10639014.760486715
gabon,3,0.3,356,42,161,73910.783703347,371768.83389539097,745404.3793945231
democratic_republic_of_the_congo,3,0.3,31029,15533,4536,18324953.302096408,10992562.507008068,43591738.808713526
equatorial_guinea,3,0.3,491,72,170,241243.395520473,624076.938387044,1182009.9697834991
ethiopia,3,0.3,12094,4702,1932,5186117.37230921,2844645.1792309396,14999047.86558796
eritrea,3,0.3,243,49,9,47789.151316098,7214.547569569,253661.679412561
guinea_bissau,3,0.3,549,1,104,664.085087043,194460.438829495,780204.450061094
guinea,3,0.3,3587,1013,851,1119291.325451435,1134445.296014318,5008076.957590911
kenya,3,0.3,6162,2403,1544,4411101.836341731,3130892.729323183,10892339.03186487
lesotho,3,0.3,224,2,1,2128.876881538,1234.19325416,234325.79196567798
liberia,3,0.3,876,39,291,84988.08418611203,650034.662477809,2216567.2099406663
madagascar,3,0.3,872,459,459,2253745.715725423,2074395.8184965202,3833274.618120391
malawi,3,0.3,1727,972,590,1353082.9660366122,893469.787596799,2369040.752047225
mali,3,0.3,5920,1871,272,1607600.8857251909,263669.918887323,5960716.49871718
mauritania,3,0.3,1828,566,59,502698.12127523404,54956.80768635401,1706446.892726493
mauritius,3,0.3,447,2,90,1277.671871593,75384.31177984801,561324.3734052279
mozambique,3,0.3,6041,2735,1062,3571108.1722807838,1659186.439944329,7310755.477268714
namibia,3,0.3,347,197,58,240510.651151803,53822.895660008,405575.736074747
niger,3,0.3,4747,3063,579,2531256.9318163916,632557.29472732,4622590.486370739
nigeria,3,0.3,64327,10458,16131,12419246.35713979,27500411.889775194,91597687.98445147
republic_of_congo,3,0.3,3955,2916,59,2402355.444241871,246399.346906478,4109466.966085707
rwanda,3,0.3,1270,334,459,478248.34593383403,631561.9898207979,1649343.029407573
senegal,3,0.3,8269,2899,172,2484589.811036333,170248.97300475097,8346712.434245584
sierra_leone,3,0.3,1334,345,461,913219.462735249,1583713.183325654,3190790.4146762565
