ID_HDC_G0,Region,Region_L2_pred,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
2480.0,Africa,Northern Africa,algeria,Annaba,264,264,100.0,472239.196746657,29091.352282778,6.160300221411881
2497.0,Africa,Northern Africa,algeria,Cheria,90,90,100.0,83586.564611694,23639.544564014996,28.281512314609174
2500.0,Africa,Northern Africa,algeria,M'Daourouch,44,44,100.0,55996.31462415201,0.0,0.0
2508.0,Africa,Northern Africa,algeria,Souk Ahras,176,176,100.0,219773.389744744,8802.853930532001,4.005423013566876
2539.0,Africa,Northern Africa,algeria,Tebessa,194,194,100.0,258156.611565005,37528.42441513,14.537076617028719
2545.0,Africa,Northern Africa,algeria,Bir El Ater,92,92,100.0,96959.273041335,0.0,0.0
2985.0,Africa,Middle Africa,angola,Namibe,360,360,100.0,318529.441478724,142442.21985479997,44.718698275906256
3002.0,Africa,Middle Africa,angola,Cabinda,595,595,100.0,1086967.583967624,691323.133607422,63.601081007767526
3011.0,Africa,Middle Africa,angola,Soyo,75,75,100.0,114378.74970171698,78948.709486304,69.02393118668518
3050.0,Africa,Middle Africa,angola,Luanda,9062,9062,100.0,10729532.902254956,7037484.142618522,65.58984633095723
3064.0,Africa,Middle Africa,angola,Benguela,334,334,100.0,372756.678670212,200412.931135422,53.76508124559528
3065.0,Africa,Middle Africa,angola,Lubango,751,751,100.0,1048557.11967693,559606.2419566041,53.36917097363507
3079.0,Africa,Middle Africa,angola,Panguila,44,44,100.0,52474.788587071,6094.462984470001,11.61407820511274
3082.0,Africa,Middle Africa,angola,Lobito,219,219,100.0,497843.622734794,338945.114610306,68.08264666490771
3100.0,Africa,Middle Africa,angola,Caxito,59,59,100.0,53145.42094989901,37875.527130597,71.26771498583638
3103.0,Africa,Middle Africa,angola,Porto Amboim,30,30,100.0,32008.314293378004,13015.619988810002,40.663247272296125
3109.0,Africa,Middle Africa,angola,Sumbe,63,63,100.0,163559.452122301,114865.74065609301,70.22873894820982
3133.0,Africa,Middle Africa,angola,Cubal,70,70,100.0,106816.83648339398,50697.929975137,47.462489663807474
3143.0,Africa,Middle Africa,angola,Vila Nova do Seles,34,34,100.0,74720.57755302198,33549.860278793,44.900429543636626
3144.0,Africa,Middle Africa,angola,M'banza Congo,121,121,100.0,296541.432794063,158851.243851695,53.567976102014484
3145.0,Africa,Middle Africa,angola,Gabela,56,56,100.0,150021.97977691502,107282.251264213,71.51102220070909
3158.0,Africa,Middle Africa,angola,Ganda,73,73,100.0,95482.40543508499,37436.628625882004,39.2078817613511
3171.0,Africa,Middle Africa,angola,Balombo,36,36,100.0,44755.839847821,24077.412267027998,53.79725271360367
3178.0,Africa,Middle Africa,angola,Matala,190,190,100.0,240268.5986186,86753.023579957,36.1066839689975
3184.0,Africa,Middle Africa,angola,Calulo,36,36,100.0,67214.758790822,50524.607775093,75.16891927311656
3188.0,Africa,Middle Africa,angola,N'dalatando,67,67,100.0,104826.642261684,85621.441949296,81.67908472691026
3189.0,Africa,Middle Africa,angola,Caconda,58,58,100.0,70824.77290729,17345.751614808,24.49107974905007
3197.0,Africa,Middle Africa,angola,Waku Kungo,99,99,100.0,101475.99020369,49299.098272979994,48.582032236416964
3198.0,Africa,Middle Africa,angola,Uíge,108,108,100.0,243142.766208355,136412.668851655,56.10393884174191
3210.0,Africa,Middle Africa,angola,Negage,40,40,100.0,48713.566606519,5883.586963366999,12.077922790772702
3217.0,Africa,Middle Africa,angola,Calilongue,76,76,100.0,77781.58008260399,29130.153030657,37.45122302699533
3227.0,Africa,Middle Africa,angola,Huambo,400,400,100.0,534007.383636265,300833.091349693,56.33500595089209
3231.0,Africa,Middle Africa,angola,Bailundo,65,65,100.0,59390.222297353,20419.54800477,34.382002987855614
3249.0,Africa,Middle Africa,angola,N/A,20,20,100.0,19305.151191683995,3962.1876379749997,20.52399175035612
3258.0,Africa,Middle Africa,angola,Malanje,611,611,100.0,886331.767861251,670834.5021967,75.68661380776712
3273.0,Africa,Middle Africa,angola,Chitembo,24,24,100.0,25594.366530307998,10450.885409407,40.83275668116813
3275.0,Africa,Middle Africa,angola,Andulo,46,46,100.0,55744.73383639999,11094.775064751,19.902821847373097
3282.0,Africa,Middle Africa,angola,Kuito,560,560,100.0,709989.682092573,442305.625114942,62.29747224090947
3315.0,Africa,Middle Africa,angola,Camacupa,54,54,100.0,57191.97705670199,16651.55205346,29.115188721227646
3318.0,Africa,Middle Africa,angola,Menongue,206,206,100.0,209411.802520347,103665.78975963201,49.50331763156452
3336.0,Africa,Middle Africa,angola,Cafunfo,79,79,100.0,149603.814797725,87668.416330151,58.60038826462075
3399.0,Africa,Middle Africa,angola,Luena,732,732,100.0,703227.4211263519,331561.277957321,47.14851383728223
3415.0,Africa,Middle Africa,angola,Saurimo,423,423,100.0,412517.658527856,250665.84949258697,60.764877408432284
3432.0,Africa,Middle Africa,angola,Lucapa,51,51,100.0,72729.282077211,27250.690902013,37.46866478495288
3435.0,Africa,Middle Africa,angola,Dundo,103,103,100.0,209521.838417589,113686.99098266299,54.26021069750176
3474.0,Africa,Middle Africa,angola,Luau,160,160,100.0,172564.13897604,88492.778300637,51.28109398959418
3496.0,Africa,Middle Africa,angola,Cazombo,32,32,100.0,181356.585263711,46056.62502666,25.395617677565426
1003.0,Latin America and the Caribbean,South America,argentina,San Rafael,136,136,100.0,121172.95202017401,0.0,0.0
1008.0,Latin America and the Caribbean,South America,argentina,San Carlos de Bariloche,112,112,100.0,102861.017434542,37784.975347056,36.73400894668512
1010.0,Latin America and the Caribbean,South America,argentina,Santiago del Estero,396,396,100.0,359913.12703331903,44078.057487734004,12.246860194030509
1014.0,Latin America and the Caribbean,South America,argentina,San Luis,212,212,100.0,189285.889490411,0.0,0.0
1032.0,Latin America and the Caribbean,South America,argentina,Villa Carlos Paz,53,53,100.0,57946.602783275,2666.164844311,4.60107187695312
1033.0,Latin America and the Caribbean,South America,argentina,Villa Mercedes,110,110,100.0,91777.691697076,793.521030504,0.8646121032582924
1035.0,Latin America and the Caribbean,South America,argentina,Cordoba,1458,1458,100.0,1428021.399177368,78278.72193671101,5.481621072471643
1036.0,Latin America and the Caribbean,South America,argentina,Neuquén,246,246,100.0,220640.189322948,10495.142531601,4.756677631489613
1037.0,Latin America and the Caribbean,South America,argentina,Cipolletti,84,84,100.0,69428.31876444601,0.0,0.0
1040.0,Latin America and the Caribbean,South America,argentina,General Roca,82,82,100.0,80896.389422408,6511.147840972,8.048749625862087
1043.0,Latin America and the Caribbean,South America,argentina,Río Cuarto,152,152,100.0,133546.498436199,0.0,0.0
1046.0,Latin America and the Caribbean,South America,argentina,Villa María,105,105,100.0,86774.150461331,0.0,0.0
1049.0,Latin America and the Caribbean,South America,argentina,Presidencia Roque Sáenz Peña,106,106,100.0,90496.253887816,4273.544144662001,4.722343700502471
1052.0,Latin America and the Caribbean,South America,argentina,San Francisco,62,62,100.0,56929.367070205015,0.0,0.0
1053.0,Latin America and the Caribbean,South America,argentina,Santa Rosa,131,131,100.0,115680.353673085,1050.82963336,0.9083907508872816
1054.0,Latin America and the Caribbean,South America,argentina,General Pico,55,55,100.0,49352.354637875,718.742974317,1.4563499139824372
1056.0,Latin America and the Caribbean,South America,argentina,Rafaela,88,88,100.0,78866.374270853,0.0,0.0
1058.0,Latin America and the Caribbean,South America,argentina,Venado Tuerto,75,75,100.0,60252.100044235995,0.0,0.0
