ID_HDC_G0,Region,Region_L2_pred,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived,Region_L1,Region_L2,UCDB_CityPop,CitySizeClass
2453.0,Africa,Northern Africa,algeria,Guelma,128,128,100.0,157340.03762139298,18190.289278562002,11.561131898502056,Africa,Northern Africa,157340.09501028527,Small
2454.0,Africa,Northern Africa,algeria,Ain Beida,149,149,100.0,167489.98198127904,0.0,0.0,Africa,Northern Africa,167490.04774911515,Small
2466.0,Africa,Northern Africa,algeria,Sedrata,57,57,100.0,60695.37883871899,1552.555223304,2.5579463428830085,Africa,Northern Africa,60695.442115342245,Small
2480.0,Africa,Northern Africa,algeria,Annaba,264,264,100.0,472239.196746657,29091.352282778,6.160300221411881,Africa,Northern Africa,472239.2356605169,Small
2497.0,Africa,Northern Africa,algeria,Cheria,90,90,100.0,83586.564611694,23639.544564014996,28.281512314609174,Africa,Northern Africa,83586.56824022718,Small
2500.0,Africa,Northern Africa,algeria,M'Daourouch,44,44,100.0,55996.31462415201,0.0,0.0,Africa,Northern Africa,55996.32558970526,Small
2508.0,Africa,Northern Africa,algeria,Souk Ahras,176,176,100.0,219773.389744744,8802.853930532001,4.005423013566876,Africa,Northern Africa,219773.53629260324,Small
2539.0,Africa,Northern Africa,algeria,Tebessa,194,194,100.0,258156.611565005,37528.42441513,14.537076617028719,Africa,Northern Africa,258156.6558744032,Small
2545.0,Africa,Northern Africa,algeria,Bir El Ater,92,92,100.0,96959.273041335,0.0,0.0,Africa,Northern Africa,96959.29730805755,Small
2985.0,Africa,Middle Africa,angola,Namibe,360,360,100.0,318529.441478724,142442.21985479997,44.718698275906256,Africa,Middle Africa,318529.4540500436,Small
3002.0,Africa,Middle Africa,angola,Cabinda,595,595,100.0,1086967.583967624,691323.133607422,63.601081007767526,Africa,Middle Africa,1086967.7584082019,Large
3011.0,Africa,Middle Africa,angola,Soyo,75,75,100.0,114378.74970171698,78948.709486304,69.02393118668518,Africa,Middle Africa,114379.00859558955,Small
3050.0,Africa,Middle Africa,angola,Luanda,9062,9062,100.0,10729532.902254956,7037484.142618522,65.58984633095723,Africa,Middle Africa,10729534.31993015,Megacity
3064.0,Africa,Middle Africa,angola,Benguela,334,334,100.0,372756.678670212,200412.931135422,53.76508124559528,Africa,Middle Africa,372757.0249562897,Small
3065.0,Africa,Middle Africa,angola,Lubango,751,751,100.0,1048557.11967693,559606.2419566041,53.36917097363507,Africa,Middle Africa,1048560.985324597,Large
3079.0,Africa,Middle Africa,angola,Panguila,44,44,100.0,52474.788587071,6094.462984470001,11.61407820511274,Africa,Middle Africa,52474.78884033486,Small
