Region,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
Asia,bangladesh,Bhaluka,35,35,100.0,118572.406546644,2834.42261318,2.3904571862299138
Asia,bangladesh,Bhola,40,40,100.0,230861.877776234,18651.132235049998,8.078913857370535
Asia,bangladesh,Bholarhat,12,12,100.0,76357.26007674,0.0,0.0
Asia,bangladesh,Bodorganj,17,17,100.0,56375.942791221,2365.13674722,4.195294358054274
Asia,bangladesh,Bogra,29,29,100.0,218433.58667434403,1827.86529444,0.8368059703039663
Asia,bangladesh,Bogura,376,376,100.0,1271776.432157376,101889.66745651099,8.011602108687498
Asia,bangladesh,Brahmanbaria,407,407,100.0,2059668.501029281,179965.20827733702,8.737581226658696
Asia,bangladesh,Burimari,20,20,100.0,60694.03345039401,0.0,0.0
Asia,bangladesh,Chakaria,30,30,100.0,154991.79192709798,14944.5601745,9.642162329169878
Asia,bangladesh,Chapainawabganj,106,106,100.0,582422.194105692,22931.715289993997,3.9373010716402383
Asia,bangladesh,Chattogram,2273,2273,100.0,5720349.9873252455,1433988.869995458,25.068201651521164
Asia,bangladesh,Chuadanga,28,28,100.0,130640.561036895,25092.291582930997,19.207121726800093
Asia,bangladesh,Comilla,1951,1951,100.0,6140056.085092329,324009.41041888896,5.27697802639887
Asia,bangladesh,Dhaka,10121,10121,100.0,30900264.22872728,9376843.464627342,30.345512242933836
Asia,bangladesh,Dinajpur,266,266,100.0,408192.823120901,68609.340445694,16.808071225047698
Asia,bangladesh,Faridpur,71,71,100.0,375554.514884399,26634.498839461998,7.092045970386077
Asia,bangladesh,Feni,85,85,100.0,434456.11780217005,34567.907199779,7.956593493182096
Asia,bangladesh,Gafargaon,51,51,100.0,223838.716991327,13825.34304746,6.1764752913570735
Asia,bangladesh,Gaibandha,21,21,100.0,249219.258429631,33090.459815742,13.277649578226855
Asia,bangladesh,Gazaria,39,39,100.0,56592.473610391,1923.5840610599998,3.399010395450904
Asia,bangladesh,Godagari,14,14,100.0,85886.38225588099,0.0,0.0
Asia,bangladesh,Gopalganj,19,19,100.0,176939.909866481,5017.51735792,2.8357182739079176
Asia,bangladesh,Habiganj,83,83,100.0,222606.550866281,31361.611655145996,14.088359723961947
Asia,bangladesh,Homna,61,61,100.0,544791.368932914,1680.09587817,0.3083925285859087
Asia,bangladesh,Ishurdi,33,33,100.0,118222.05391376001,0.0,0.0
Asia,bangladesh,Jaigir,11,11,100.0,72932.35835749199,0.0,0.0
Asia,bangladesh,Jamalpur,102,102,100.0,736950.8495091059,221677.222551127,30.080326618632647
Asia,bangladesh,Jessore,317,317,100.0,550940.2879813199,100072.425148346,18.163933067051186
Asia,bangladesh,Jhenaidah,68,68,100.0,210933.45507099497,17404.388375118,8.25112752704881
Asia,bangladesh,Joypurhat,26,26,100.0,124339.294732163,0.0,0.0
Asia,bangladesh,Khagrachhari,4,4,100.0,72366.69830731,0.0,0.0
Asia,bangladesh,Khulna,603,603,100.0,1111422.934769247,166548.871739814,14.985192992656101
Asia,bangladesh,Kishoreganj,128,128,100.0,821332.226366923,109487.424896355,13.33046742615484
Asia,bangladesh,Kotchadpur,15,15,100.0,46113.605361235,0.0,0.0
Asia,bangladesh,Lakshmipur,57,57,100.0,946334.985345757,0.0,0.0
Asia,bangladesh,Madaripur,40,40,100.0,232549.196392117,27102.7727189,11.654640454314952
Asia,bangladesh,Magura,19,19,100.0,173047.10659928498,50468.84356126,29.164800587003015
Asia,bangladesh,Manikgonj,49,49,100.0,280654.745509251,0.0,0.0
Asia,bangladesh,Meherpur,83,83,100.0,104294.466123815,600.424133165,0.5757008549736435
Asia,bangladesh,Moulvibazar,68,68,100.0,339563.6610087609,18607.43129954,5.479806421058677
Asia,bangladesh,Muktagacha,64,64,100.0,286496.561591881,14263.328869849,4.978534049622328
Asia,bangladesh,Mymensingh,405,405,100.0,731212.9984854469,315510.762437269,43.14895428428964
Asia,bangladesh,N/A,124,124,100.0,348888.988670903,570.458098745,0.16350705160348206
Asia,bangladesh,Nabinagar,52,52,100.0,158318.50222467503,647.936773294,0.40926156083417936
