Region,Country,City,Population,SizeClass
Africa,sudan,Ad-Damazin,174274.389375163,Small
Africa,sudan,Al Hasahisa,151380.175685727,Small
Africa,sudan,Al Hilaliyah,29368.98700618,Small
Africa,sudan,Al Kamilin,42510.012960186,Small
Africa,sudan,Al Managil,204018.51506885997,Small
Africa,sudan,Al Rahad,100639.392338592,Small
Africa,sudan,Al-Fashir,549173.3777727081,Medium
Africa,sudan,Al-Qadarif,277695.989430832,Small
Africa,sudan,Al-Ubayyid,590126.0623538049,Medium
Africa,sudan,Atbara,187005.00414631102,Small
Africa,sudan,Baqayr al Quddami,55871.4282607,Small
Africa,sudan,Barah,29207.899706849003,Small
Africa,sudan,Dilling,73669.614137917,Small
Africa,sudan,Dongola,66920.651218257,Small
Africa,sudan,El Suki,43948.124101128,Small
Africa,sudan,En Nahud,149734.230122604,Small
Africa,sudan,Er Roseires,95544.468422458,Small
Africa,sudan,For Baranga,78402.128240142,Small
Africa,sudan,Geneina,185180.116896186,Small
Africa,sudan,Ghaliya,77897.554704962,Small
Africa,sudan,Giad Industrial Complex,58844.48069929401,Small
Africa,sudan,Jebel Aulia,79539.46357361498,Small
Africa,sudan,Kaduqli,38360.46202637499,Small
Africa,sudan,Kas,345959.931390285,Small
Africa,sudan,Kassala,298635.53577754,Small
Africa,sudan,Kebkabiya,526106.0836884719,Medium
Africa,sudan,Khartoum,6266432.006904,Very large
Africa,sudan,Khashm El Girba,87677.681237744,Small
Africa,sudan,Kosti,361597.09385249903,Small
Africa,sudan,Mellit,186801.279302797,Small
Africa,sudan,Muglad,78910.733970564,Small
Africa,sudan,N/A,309609.86663326295,Small
Africa,sudan,New Halfa,141454.60785213,Small
Africa,sudan,Nyala,762698.240379496,Medium
Africa,sudan,Port Sudan,371366.759607242,Small
Africa,sudan,Rabak,206767.338626353,Small
Africa,sudan,Sennar,132798.63227153497,Small
Africa,sudan,Shendi,199416.960138538,Small
Africa,sudan,Singa,85610.12144372502,Small
Africa,sudan,Umm Ruwaba,162222.519035556,Small
Africa,sudan,Wad Madanī,451392.70936885,Small
Africa,sudan,Zalingei,34935.945739706,Small
Africa,sudan,ad-Damer,150217.994766201,Small
Africa,sudan,أش شلال,63475.621577883,Small
Latin America and the Caribbean,belize,Belize City,73861.04662429,Small
Asia,tajikistan,Danghara,46281.729915509,Small
Asia,tajikistan,Dushanbe,1382631.6064233081,Large
Asia,tajikistan,Ghafurov,117171.18859681401,Small
Asia,tajikistan,Hisor,110218.57027877601,Small
Asia,tajikistan,Isfara,71419.598099376,Small
Asia,tajikistan,Khistevarz,69764.31302519201,Small
Asia,tajikistan,Khorugh,41058.418461427,Small
Asia,tajikistan,Khujand,177695.684885686,Small
Asia,tajikistan,Kulob,151751.037603852,Small
Asia,tajikistan,N/A,72584.962853289,Small
Asia,tajikistan,Proletar,85498.36303547601,Small
Asia,tajikistan,Qabodiyon,77021.36132714301,Small
Asia,tajikistan,Shahrinav,65566.433457042,Small
Asia,tajikistan,Vahdat,111907.19877685899,Small
Asia,tajikistan,Vakhsh,75135.908478442,Small
Asia,syria,Abu Kamal,85238.00184347501,Small
Asia,syria,Al Qurayya,68953.194475442,Small
Asia,syria,Al-Hasakah,161742.952039245,Small
Asia,syria,Al-Tabqah,95309.498346732,Small
Asia,syria,Aleppo,3197319.0881676003,Large
Asia,syria,Ar Raqqah,203922.588575369,Small
Asia,syria,As Safirah,79024.79350618902,Small
Asia,syria,As Suwayda,123069.24977379601,Small
Asia,syria,Baniyas,77713.25747022101,Small
Asia,syria,Bza`a,87228.46769746,Small
Asia,syria,Damascus,4107560.0698218863,Large
Asia,syria,Deir Ez Zor,254299.66461869498,Small
Asia,syria,Halfaya,76609.674687216,Small
Asia,syria,Hama,299679.905456212,Small
Asia,syria,Homs,933226.0502374759,Medium
Asia,syria,Idlib,132016.12921160698,Small
Asia,syria,Jablah,101597.800978066,Small
Asia,syria,Kobani,71945.842858967,Small
Asia,syria,Latakia,589986.776669168,Medium
Asia,syria,Manbij,177388.59717191797,Small
Asia,syria,Qamishli,373691.305820604,Small
Asia,syria,Tartus,103509.94643119202,Small
Asia,syria,Yaaroubia,32152.234022377997,Small
Asia,syria,`Uthman,126666.08345436501,Small
Africa,togo,Anié,81350.858975151,Small
Africa,togo,Aného,57396.419732308,Small
Africa,togo,Atakpamé,150759.201040907,Small
Africa,togo,Bassar,37070.584815270005,Small
Africa,togo,Kara,123708.236283237,Small
Africa,togo,Kpalimé,120667.069893622,Small
Africa,togo,Lomé,2432538.875825407,Large
Africa,togo,Notsé,87222.00035607001,Small
Africa,togo,Sokodé,152181.012610126,Small
Africa,togo,Tchamba,50161.482098288994,Small
Africa,togo,Tsévié,73999.38864967,Small
Asia,timor_leste,Dili,377929.54492788203,Small
Asia,thailand,Ban Map Ta Phut,67454.447526008,Small
Asia,thailand,Bangkok,18595855.12741565,Megacity
Asia,thailand,Chachoengsao,59496.395988624005,Small
Asia,thailand,Chanthaburi,99832.778404727,Small
Asia,thailand,Chiang Mai,607580.676465915,Medium
Asia,thailand,Chiang Rai,116746.97423467103,Small
Asia,thailand,Chonburi,255045.41965363797,Small
Asia,thailand,Chumphon,56397.049191649996,Small
Asia,thailand,Hat Yai,438976.178230254,Small
Asia,thailand,Kamphaeng Phet,73289.317560784,Small
Asia,thailand,Kanchanaburi,66949.8837058,Small
Asia,thailand,Khon Kaen,234251.695964336,Small
Asia,thailand,Laem Chabang,83016.808843923,Small
Asia,thailand,Lampang,165039.11513696302,Small
Asia,thailand,Lopburi,249079.251968586,Small
Asia,thailand,N/A,241704.812260303,Small
Asia,thailand,Nakhon Pathom,178426.033652782,Small
Asia,thailand,Nakhon Ratchasima,194729.057528799,Small
Asia,thailand,Nakhon Sawan,97306.60826319401,Small
Asia,thailand,Nakhon Si Thammarat,144519.266592587,Small
Asia,thailand,Nong Khai,55833.484036568,Small
Asia,thailand,Pattani,82601.122109648,Small
Asia,thailand,Pattaya,235051.510406045,Small
Asia,thailand,Phanat Nikhom,35776.77472416,Small
Asia,thailand,Phetchaburi,82055.516982483,Small
Asia,thailand,Phitsanulok,180610.910812307,Small
Asia,thailand,Phra Nakhon Si Ayutthaya,149484.476957655,Small
Asia,thailand,Phuket,460139.0851525309,Small
Asia,thailand,Prachin Buri,65972.220412965,Small
Asia,thailand,Ranong,138391.559017619,Small
Asia,thailand,Ratchaburi,65677.488206473,Small
Asia,thailand,Rayong,80848.20907374697,Small
Asia,thailand,Saraburi,91688.27080243701,Small
Asia,thailand,Savannakhet,103623.892031434,Small
Asia,thailand,Songkhla,232866.21096665098,Small
Asia,thailand,Su-ngai Kolok,53594.588483215,Small
Asia,thailand,Surat Thani,115205.69372205199,Small
Asia,thailand,Thung Song,35451.919302786,Small
