Region,Country,City,CitySizeClass,TotalPop,DeprivedPop,PctDeprived
Asia,indonesia,Pontianak,Medium,848638.587859591,9446.326448091,1.113115357141162
Asia,indonesia,Poso,Small,70643.219068201,1835.38502815,2.5981050302620927
Asia,indonesia,Prabumulih,Small,131832.924839608,0.0,0.0
Asia,indonesia,Pringsewu,Small,97122.435267834,0.0,0.0
Asia,indonesia,Probolinggo,Small,392503.13555147196,34524.718991063,8.796036480716344
Asia,indonesia,Purwakarta,Medium,529183.894147899,10979.000677561,2.074704237784783
Asia,indonesia,Purwodadi,Small,208621.879368795,2271.194857603,1.0886657068159449
Asia,indonesia,Purwokerto,Large,1322465.983536952,37714.81568827401,2.8518552581144854
Asia,indonesia,Purworejo,Small,365435.55976750504,8852.98333723,2.4225839824844595
Asia,indonesia,Raha,Small,105799.57898418601,0.0,0.0
Asia,indonesia,Rangkasbitung,Small,320176.36750622,34574.566779443005,10.798600486580675
Asia,indonesia,Rantau Prapat,Small,199716.766737986,0.0,0.0
Asia,indonesia,Rantepao,Small,77034.361696504,539.649584278,0.7005309999245318
Asia,indonesia,Rembang,Small,85232.36782259602,1706.1199024090001,2.001727683971123
Asia,indonesia,Rowosari,Small,46896.615713984,0.0,0.0
Asia,indonesia,Ruteng,Small,128531.722177449,0.0,0.0
Asia,indonesia,Salatiga,Small,317688.52644625097,1376.3364991,0.4332345629526093
Asia,indonesia,Samarinda,Large,1196188.955004108,117103.27137594602,9.789696760370427
Asia,indonesia,Sampang,Small,94579.73187914699,11184.995149743998,11.825995831787797
Asia,indonesia,Sampit,Small,217637.703709347,11664.234749765,5.359473359148501
Asia,indonesia,Sangatta,Small,125029.41050789601,0.0,0.0
Asia,indonesia,Sanggau,Small,60188.160177688,0.0,0.0
Asia,indonesia,Selatpanjang,Small,138877.528542978,4283.131852635,3.084107196874196
Asia,indonesia,Selong,Medium,502723.092580835,99915.735868206,19.87490476223551
