threshold,precision,recall,f1,accuracy,specificity,balanced_acc,tn,fp,fn,tp,region_code,repeat
0.4,0.8837209302325582,0.8201438848920863,0.8507462686567164,0.8561151079136691,0.8920863309352518,0.8561151079136691,248,30,50,228,2,28
0.4,0.8837209302325582,0.8201438848920863,0.8507462686567164,0.8561151079136691,0.8920863309352518,0.8561151079136691,248,30,50,228,2,29
0.4,0.8636363636363636,0.8201438848920863,0.8413284132841329,0.8453237410071942,0.8705035971223022,0.8453237410071943,242,36,50,228,2,30
0.4,0.8837209302325582,0.8201438848920863,0.8507462686567164,0.8561151079136691,0.8920863309352518,0.8561151079136691,248,30,50,228,2,31
0.4,0.8871595330739299,0.8201438848920863,0.8523364485981308,0.8579136690647482,0.89568345323741,0.8579136690647482,249,29,50,228,2,32
0.4,0.8444444444444444,0.8201438848920863,0.8321167883211679,0.8345323741007195,0.8489208633093526,0.8345323741007195,236,42,50,228,2,33
0.4,0.8382352941176471,0.8201438848920863,0.8290909090909091,0.8309352517985612,0.841726618705036,0.8309352517985611,234,44,50,228,2,34
0.4,0.8871595330739299,0.8201438848920863,0.8523364485981308,0.8579136690647482,0.89568345323741,0.8579136690647482,249,29,50,228,2,35
0.4,0.8871595330739299,0.8201438848920863,0.8523364485981308,0.8579136690647482,0.89568345323741,0.8579136690647482,249,29,50,228,2,36
0.4,0.8871595330739299,0.8201438848920863,0.8523364485981308,0.8579136690647482,0.89568345323741,0.8579136690647482,249,29,50,228,2,37
0.4,0.8382352941176471,0.8201438848920863,0.8290909090909091,0.8309352517985612,0.841726618705036,0.8309352517985611,234,44,50,228,2,38
0.4,0.9047619047619048,0.8201438848920863,0.8603773584905661,0.8669064748201439,0.9136690647482014,0.8669064748201438,254,24,50,228,2,39
0.4,0.8837209302325582,0.8201438848920863,0.8507462686567164,0.8561151079136691,0.8920863309352518,0.8561151079136691,248,30,50,228,2,40
0.4,0.890625,0.8201438848920863,0.8539325842696629,0.8597122302158273,0.8992805755395683,0.8597122302158273,250,28,50,228,2,41
0.4,0.8735632183908046,0.8201438848920863,0.8460111317254174,0.8507194244604317,0.8812949640287769,0.8507194244604317,245,33,50,228,2,42
0.4,0.8941176470588236,0.8201438848920863,0.8555347091932458,0.8615107913669064,0.9028776978417267,0.8615107913669064,251,27,50,228,2,43
0.4,0.8603773584905661,0.8201438848920863,0.8397790055248618,0.8435251798561151,0.8669064748201439,0.8435251798561152,241,37,50,228,2,44
0.4,0.8669201520912547,0.8201438848920863,0.8428835489833642,0.8471223021582733,0.8741007194244604,0.8471223021582734,243,35,50,228,2,45
0.4,0.8837209302325582,0.8201438848920863,0.8507462686567164,0.8561151079136691,0.8920863309352518,0.8561151079136691,248,30,50,228,2,46
0.4,0.8871595330739299,0.8201438848920863,0.8523364485981308,0.8579136690647482,0.89568345323741,0.8579136690647482,249,29,50,228,2,47
0.4,0.8475836431226765,0.8201438848920863,0.8336380255941499,0.8363309352517986,0.8525179856115108,0.8363309352517986,237,41,50,228,2,48
0.4,0.8803088803088803,0.8201438848920863,0.8491620111731844,0.85431654676259,0.8884892086330936,0.85431654676259,247,31,50,228,2,49
0.4,0.8404558404558404,0.6032719836400818,0.7023809523809523,0.7443762781186094,0.885480572597137,0.7443762781186094,433,56,194,295,3,0
0.4,0.8428571428571429,0.6032719836400818,0.7032181168057211,0.745398773006135,0.8875255623721882,0.745398773006135,434,55,194,295,3,1
0.4,0.817174515235457,0.6032719836400818,0.6941176470588235,0.7341513292433538,0.8650306748466258,0.7341513292433538,423,66,194,295,3,2
0.4,0.8404558404558404,0.6032719836400818,0.7023809523809523,0.7443762781186094,0.885480572597137,0.7443762781186094,433,56,194,295,3,3
0.4,0.8452722063037249,0.6032719836400818,0.7040572792362768,0.7464212678936605,0.8895705521472392,0.7464212678936606,435,54,194,295,3,4
0.4,0.8404558404558404,0.6032719836400818,0.7023809523809523,0.7443762781186094,0.885480572597137,0.7443762781186094,433,56,194,295,3,5
0.4,0.8575581395348837,0.6032719836400818,0.7082833133253301,0.7515337423312883,0.8997955010224948,0.7515337423312883,440,49,194,295,3,6
0.4,0.8333333333333334,0.6032719836400818,0.6998813760379596,0.7413087934560327,0.8793456032719836,0.7413087934560327,430,59,194,295,3,7
0.4,0.8832335329341318,0.6032719836400818,0.7168894289185905,0.7617586912065439,0.9202453987730062,0.7617586912065439,450,39,194,295,3,8
0.4,0.8380681818181818,0.6032719836400818,0.7015457788347206,0.7433537832310838,0.8834355828220859,0.7433537832310839,432,57,194,295,3,9
0.4,0.8501440922190202,0.6032719836400818,0.7057416267942583,0.7484662576687117,0.8936605316973415,0.7484662576687117,437,52,194,295,3,10
0.4,0.8600583090379009,0.6032719836400818,0.7091346153846154,0.7525562372188139,0.901840490797546,0.7525562372188139,441,48,194,295,3,11
0.4,0.8651026392961877,0.6032719836400818,0.7108433734939759,0.754601226993865,0.9059304703476483,0.7546012269938651,443,46,194,295,3,12
0.4,0.8702064896755162,0.6032719836400818,0.7125603864734299,0.7566462167689162,0.9100204498977505,0.7566462167689162,445,44,194,295,3,13
0.4,0.8477011494252874,0.6032719836400818,0.7048984468339307,0.7474437627811861,0.8916155419222904,0.7474437627811861,436,53,194,295,3,14
0.4,0.8625730994152047,0.6032719836400818,0.7099879663056559,0.7535787321063395,0.9038854805725971,0.7535787321063394,442,47,194,295,3,15
0.4,0.8625730994152047,0.6032719836400818,0.7099879663056559,0.7535787321063395,0.9038854805725971,0.7535787321063394,442,47,194,295,3,16
0.4,0.8380681818181818,0.6032719836400818,0.7015457788347206,0.7433537832310838,0.8834355828220859,0.7433537832310839,432,57,194,295,3,17
0.4,0.8452722063037249,0.6032719836400818,0.7040572792362768,0.7464212678936605,0.8895705521472392,0.7464212678936606,435,54,194,295,3,18
0.4,0.8651026392961877,0.6032719836400818,0.7108433734939759,0.754601226993865,0.9059304703476483,0.7546012269938651,443,46,194,295,3,19
0.4,0.8240223463687151,0.6032719836400818,0.6965761511216056,0.7372188139059305,0.8711656441717791,0.7372188139059305,426,63,194,295,3,20
0.4,0.8404558404558404,0.6032719836400818,0.7023809523809523,0.7443762781186094,0.885480572597137,0.7443762781186094,433,56,194,295,3,21
0.4,0.8501440922190202,0.6032719836400818,0.7057416267942583,0.7484662576687117,0.8936605316973415,0.7484662576687117,437,52,194,295,3,22
0.4,0.8625730994152047,0.6032719836400818,0.7099879663056559,0.7535787321063395,0.9038854805725971,0.7535787321063394,442,47,194,295,3,23
0.4,0.8600583090379009,0.6032719836400818,0.7091346153846154,0.7525562372188139,0.901840490797546,0.7525562372188139,441,48,194,295,3,24
0.4,0.8526011560693642,0.6032719836400818,0.7065868263473054,0.7494887525562373,0.8957055214723927,0.7494887525562373,438,51,194,295,3,25
0.4,0.8501440922190202,0.6032719836400818,0.7057416267942583,0.7484662576687117,0.8936605316973415,0.7484662576687117,437,52,194,295,3,26
0.4,0.8526011560693642,0.6032719836400818,0.7065868263473054,0.7494887525562373,0.8957055214723927,0.7494887525562373,438,51,194,295,3,27
0.4,0.8779761904761905,0.6032719836400818,0.7151515151515152,0.7597137014314929,0.9161554192229039,0.7597137014314929,448,41,194,295,3,28
0.4,0.8805970149253731,0.6032719836400818,0.7160194174757282,0.7607361963190185,0.918200408997955,0.7607361963190185,449,40,194,295,3,29
0.4,0.8428571428571429,0.6032719836400818,0.7032181168057211,0.745398773006135,0.8875255623721882,0.745398773006135,434,55,194,295,3,30
0.4,0.8452722063037249,0.6032719836400818,0.7040572792362768,0.7464212678936605,0.8895705521472392,0.7464212678936606,435,54,194,295,3,31
0.4,0.8452722063037249,0.6032719836400818,0.7040572792362768,0.7464212678936605,0.8895705521472392,0.7464212678936606,435,54,194,295,3,32
0.4,0.8575581395348837,0.6032719836400818,0.7082833133253301,0.7515337423312883,0.8997955010224948,0.7515337423312883,440,49,194,295,3,33
0.4,0.8309859154929577,0.6032719836400818,0.6990521327014217,0.7402862985685071,0.8773006134969326,0.7402862985685073,429,60,194,295,3,34
0.4,0.8263305322128851,0.6032719836400818,0.6973995271867612,0.7382413087934561,0.8732106339468303,0.7382413087934561,427,62,194,295,3,35
0.4,0.855072463768116,0.6032719836400818,0.7074340527577938,0.7505112474437627,0.8977505112474438,0.7505112474437627,439,50,194,295,3,36
