threshold,precision,recall,f1,specificity,balanced_acc,tn,fp,fn,tp
0.5700000000000001,0.4924953095684803,0.506268081002893,0.4992867332382311,0.9552448709463931,0.730756475974643,11547,541,512,525
0.58,0.5009615384615385,0.502410800385728,0.5016851227732306,0.9570648577101257,0.7297378290479268,11569,519,516,521
0.59,0.5110663983903421,0.48987463837994216,0.5002461841457411,0.9597948378557247,0.7248347381178335,11602,486,529,508
0.6,0.5220125786163522,0.4802314368370299,0.5002511300853842,0.9622766379880874,0.7212540374125587,11632,456,539,498
0.61,0.5250544662309368,0.4648023143683703,0.4930946291560102,0.9639311714096624,0.7143667428890164,11652,436,555,482
0.62,0.5335608646188851,0.4522661523625844,0.48956158663883087,0.9660820648577101,0.7091741086101473,11678,410,568,469
0.63,0.5459905660377359,0.446480231436837,0.49124668435013263,0.9681502316346791,0.707315231535758,11703,385,574,463
0.64,0.5570552147239264,0.437801350048216,0.490280777537797,0.9701356717405691,0.7039685108943926,11727,361,583,454
0.65,0.5736434108527132,0.42815814850530376,0.49033683048039756,0.9727001985440106,0.7004291735246572,11758,330,593,444
0.66,0.5905405405405405,0.4214079074252652,0.4918401800787845,0.974933818663137,0.6981708630442011,11785,303,600,437
0.67,0.6056737588652482,0.4117647058823529,0.4902411021814007,0.9770019854401059,0.6943833456612294,11810,278,610,427
0.68,0.6174298375184638,0.4030858244937319,0.48774795799299886,0.9785737921906023,0.6908298083421671,11829,259,619,418
0.6900000000000001,0.6291079812206573,0.3876567020250723,0.4797136038186158,0.9803937789543349,0.6840252404897036,11851,237,635,402
0.7000000000000001,0.6254019292604501,0.3751205400192864,0.4689572031344183,0.9807246856386499,0.6779226128289682,11855,233,648,389
0.71,0.6328257191201354,0.36065573770491804,0.4594594594594595,0.98204831237591,0.671352025040414,11871,217,663,374
0.72,0.6442477876106195,0.3510125361620058,0.4544319600499376,0.9833719391131701,0.667192237637588,11887,201,673,364
0.73,0.6598513011152416,0.3423336547733848,0.4507936507936508,0.9848610191925877,0.6635973369829863,11905,183,682,355
0.74,0.6653771760154739,0.3317261330761813,0.44272844272844275,0.9856882859033752,0.6587072094897782,11915,173,693,344
0.75,0.6727642276422764,0.3191899710703954,0.4329627207325049,0.9866810059563204,0.6529354885133578,11927,161,706,331
0.76,0.6913319238900634,0.3153326904532305,0.433112582781457,0.9879219060225016,0.651627298237866,11942,146,710,327
0.77,0.7058823529411765,0.3008678881388621,0.42190669371196754,0.9892455327597618,0.6450567104493119,11958,130,725,312
0.78,0.7050359712230215,0.28351012536162007,0.40440165061898214,0.989824619457313,0.6366673724094666,11965,123,743,294
0.79,0.7146529562982005,0.26808100289296044,0.3899018232819074,0.9908173395102581,0.6294491712016093,11977,111,759,278
0.8,0.7235772357723578,0.25747348119575697,0.37980085348506404,0.9915618795499669,0.6245176803728619,11986,102,770,267
0.81,0.7398843930635838,0.24686595949855353,0.37020968908170643,0.9925545996029119,0.6197102795507328,11998,90,781,256
0.8200000000000001,0.7537993920972644,0.2391513982642237,0.363103953147877,0.9932991396426207,0.6162252689534222,12007,81,789,248
0.8300000000000001,0.7704918032786885,0.2266152362584378,0.3502235469448584,0.9942091330244871,0.6104121846414624,12018,70,802,235
0.84,0.7896678966789668,0.2063645130183221,0.327217125382263,0.9952845797485109,0.6008245463834165,12031,57,823,214
0.85,0.7976190476190477,0.19382835101253615,0.3118696664080683,0.9957809397749835,0.5948046453937599,12037,51,836,201
0.86,0.8076923076923077,0.18225650916104147,0.2974036191974823,0.996277299801456,0.5892669044812487,12043,45,848,189
0.87,0.8238095238095238,0.16682738669238187,0.2774659182036889,0.996939113170086,0.581883249931234,12051,37,864,173
0.88,0.8402061855670103,0.15718418514946964,0.264825345247766,0.9974354731965586,0.5773098291730141,12057,31,874,163
0.89,0.8488372093023255,0.1407907425265188,0.24152191894127378,0.9978491065519524,0.5693199245392355,12062,26,891,146
0.9,0.8670886075949367,0.13211186113789777,0.2292887029288703,0.9982627399073462,0.565187300522622,12067,21,900,137
0.91,0.8857142857142857,0.11957569913211186,0.2107051826677995,0.99867637326274,0.559126036197426,12072,16,913,124
0.92,0.873015873015873,0.10607521697203472,0.18916595012897677,0.99867637326274,0.5523757951173873,12072,16,927,110
0.93,0.8737864077669902,0.08678881388621022,0.15789473684210525,0.9989245532759762,0.5428566835810932,12075,13,947,90
0.9400000000000001,0.8777777777777778,0.07618129218900675,0.1401952085181899,0.9990900066181337,0.5376356494035702,12077,11,958,79
0.9500000000000001,0.868421052631579,0.06364513018322084,0.11859838274932614,0.9991727332892124,0.5314089317362166,12078,10,971,66
0.96,0.875,0.05400192864030858,0.10172570390554042,0.99933818663137,0.5266700576358393,12080,8,981,56
0.97,0.8695652173913043,0.03857280617164899,0.07386888273314866,0.9995036399735274,0.5190382230725882,12082,6,997,40
0.98,0.9090909090909091,0.02892960462873674,0.056074766355140186,0.9997518199867638,0.5143407123077502,12085,3,1007,30
0.99,1.0,0.01639344262295082,0.03225806451612903,1.0,0.5081967213114754,12088,0,1020,17
1.0,0.0,0.0,0.0,1.0,0.5,12088,0,1037,0
