ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2370,1194.27500219,4.52319,1328.3404082435425,94.0,42.0,0.446808510638298,374.0901287040917,0.61,365.7623822812973,17025.3,181.1,1.2637,3199135.315961638,3,481.19042553191485,0.503,0.557,0.508,0.57,0.508,0.566,14.13128093876109,0.318,0.39,0.326,0.418,0.326,0.412,2.0,1.0,2.0,1.0,2.0,1.0,264.0337907958764,12.705053214787233,28.435119099761906,0.8990730047647827,1076.9499999999998,293.67336066880733,0.4468085106382978,31.6271525772272,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2371,604.162601489,1.78832,789.8926942638966,40.0,12.0,0.3,144.81878975586304,0.8095,365.7623822812973,9353.0,233.8,1.6064,3199135.315961638,3,447.08,0.495,0.557,0.5,0.57,0.5,0.566,19.747317356597414,0.363,0.39,0.369,0.418,0.369,0.412,2.0,1.0,2.0,1.0,2.0,1.0,337.8380835023934,15.104065037225002,50.34688345741667,0.7648666785708419,1490.2666666666669,441.6953868792479,0.3,65.82439118865805,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2372,416.819443747,1.19487,427.4026775289944,27.0,11.0,0.407407407407407,284.41207398463666,0.8673,365.7623822812973,6171.6,228.6,2.1978,3199135.315961638,3,442.5444444444445,0.494,0.557,0.499,0.57,0.499,0.566,15.829728797370162,0.334,0.39,0.341,0.418,0.341,0.412,2.0,1.0,2.0,1.0,2.0,1.0,348.84083100839416,15.437757175814816,37.89267670427272,0.9752382604545652,1086.2454545454543,357.6980571350811,0.4074074074074074,38.854788866272216,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2373,4979.69971354,60.0561,8455.7502844538,518.0,225.0,0.434362934362934,527.1335336189721,1.7736,365.7623822812973,111357.4,215.0,1.6652,3199135.315961638,3,1159.38416988417,0.592,0.557,0.593,0.57,0.593,0.566,16.32384224798031,0.338,0.39,0.345,0.418,0.345,0.412,1.0,0.0,1.0,0.0,1.0,0.0,82.9174673936536,9.61331991030888,22.131998726844444,0.5889128162518419,2669.16,140.79752572101418,0.4343629343629344,37.58111237535022,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2374,852.801057248,2.7558,1254.1835958617314,51.0,10.0,0.196078431372549,276.82302484667844,1.1051,365.7623822812973,10091.1,197.9,1.6525,3199135.315961638,3,540.3529411764706,0.516,0.557,0.52,0.57,0.52,0.566,24.591835212975127,0.392,0.39,0.397,0.418,0.397,0.412,1.0,0.0,2.0,1.0,2.0,1.0,309.45680283329705,16.72158935780392,85.2801057248,0.6799650865007948,2755.8,455.10690030544,0.196078431372549,125.41835958617314,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2375,2679.74743166,6.94098,1287.5221012766535,217.0,153.0,0.705069124423963,267.24196825572915,0.5986,365.7623822812973,28859.6,133.0,1.4143,3199135.315961638,3,319.8608294930876,0.455,0.557,0.463,0.57,0.463,0.566,5.933281572703472,0.191,0.39,0.213,0.418,0.213,0.412,2.0,1.0,2.0,1.0,2.0,1.0,386.0762358715916,12.349066505345622,17.514689095816994,2.081321500425409,453.6588235294118,185.4957226899737,0.7050691244239631,8.415177132527146,0.7875354107648725,1.0,1
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2376,525.468065997,1.29683,582.0207920918085,35.0,10.0,0.285714285714286,284.9556253258117,0.547,365.7623822812973,6483.9,185.3,1.4364,3199135.315961638,3,370.5228571428571,0.474,0.557,0.48,0.57,0.48,0.566,16.629165488337385,0.34,0.39,0.347,0.418,0.347,0.412,2.0,1.0,2.0,1.0,2.0,1.0,405.1942552200366,15.0133733142,52.546806599700005,0.9028338388194768,1296.83,448.8026897062904,0.2857142857142857,58.20207920918085,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2377,568.12767162,8.33521,1292.5265451680427,86.0,55.0,0.63953488372093,659.8307087123112,0.947,365.7623822812973,12310.8,143.1,1.0951,3199135.315961638,3,969.210465116279,0.575,0.557,0.576,0.57,0.576,0.566,15.029378432186544,0.326,0.39,0.334,0.418,0.334,0.412,1.0,0.0,1.0,0.0,1.0,0.0,68.1599709689378,6.606135716511628,10.329594029454546,0.4395481653695067,1515.4927272727273,155.0682640471017,0.6395348837209303,23.50048263941896,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2378,433.887625581,4.54165,956.4002860724424,11.0,2.0,0.181818181818182,4172.336507206145,0.4544,365.7623822812973,29472.1,2679.3,1.4864,3199135.315961638,3,4128.772727272727,0.706,0.557,0.706,0.57,0.706,0.566,86.94548055204021,0.555,0.39,0.556,0.418,0.556,0.412,0.0,0.0,0.0,0.0,0.0,0.0,95.53524062422248,39.44432959827273,216.9438127905,0.4536673941857596,22708.25,210.5843220134626,0.1818181818181818,478.2001430362212,0.0,0.0,0
561.0,Medellín,Medellín,Colombia,Latin America and the Caribbean,South America,2379,2265.39722818,37.5427,5491.503414069374,249.0,94.0,0.377510040160643,523.5638662676008,1.8223,365.7623822812973,44089.5,177.1,1.7452,3199135.315961638,3,1507.7389558232935,0.616,0.557,0.617,0.57,0.617,0.566,22.054230578591863,0.378,0.39,0.383,0.418,0.383,0.412,1.0,0.0,1.0,0.0,1.0,0.0,60.34188346016669,9.097980836064258,24.099970512553192,0.4125276918477358,3993.904255319149,146.2735342441906,0.3775100401606425,58.4202490858444,0.0,0.0,0
