ID_HDC_G0,UC_NM_MN,UC_NM_LST,CTR_MN_NM,REG1_GHSL,REG2_GHSL,ID_SEG,POP_SEG,AREAHA_SEG,ROAD_SEG,PAR_N_SEG,PARU_N_SEG,PARU_P_SEG,PARU_A_SEG,PAR_CV_SEG,PAR_A_U,B_AREA_SEG,B_AVG_SEG,B_CV_SEG,POP25_U,SIZE_U,i5_par_area,i5_par_area_rel_U,i5_ref_U,i5_par_area_rel_P,i5_ref_P,i5_par_area_rel_C,i5_ref_C,i9_roads_par,i9_roads_par_rel_U,i9_ref_U,i9_roads_par_rel_P,i9_ref_P,i9_roads_par_rel_C,i9_ref_C,SES_3CAT_U,SES_2CAT_U,SES_3CAT_P,SES_2CAT_P,SES_3CAT_C,SES_2CAT_C,i1_pop_area,i2_pop_par,i3_pop_paru,i4_pop_roads,i6_paru_area,i7_roads_area,i8_paru_par,i10_roads_paru,slum_fraction,slum_label,slum_label1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1129,1285.45753761,1.57076,714.504841523909,71.0,22.0,0.309859154929577,170.47316202997018,0.4021,291.4489313716269,6536.0,92.1,0.9712,3294899.462836777,3,221.2338028169014,0.512,0.573,0.404,0.495,0.404,0.496,10.063448472167734,0.351,0.38,0.263,0.31,0.284,0.323,2.0,1.0,2.0,1.0,2.0,1.0,818.3666108189666,18.105035740985915,58.42988807318181,1.7990886316016452,713.9818181818181,454.8784292469308,0.3098591549295774,32.47749279654132,1.0,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1130,672.197594732,2.85561,904.0293255191074,109.0,49.0,0.44954128440367,179.7531605696881,0.6436,291.4489313716269,13366.7,122.6,1.2974,3294899.462836777,3,261.9825688073394,0.539,0.573,0.425,0.495,0.425,0.496,8.293847023111077,0.309,0.38,0.234,0.31,0.26,0.323,2.0,1.0,2.0,1.0,2.0,1.0,235.3954478139522,6.166950410385321,13.718318259836732,0.7435572893014437,582.7775510204082,316.58010916025205,0.4495412844036697,18.44957807181852,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1131,3520.30835319,118.779,8460.012999220673,830.0,533.0,0.642168674698795,380.0327486071883,3.9907,291.4489313716269,139060.1,167.5,3.1325,3294899.462836777,3,1431.0722891566263,0.75,0.573,0.59,0.495,0.59,0.496,10.192786746049004,0.353,0.38,0.265,0.31,0.285,0.323,1.0,0.0,1.0,0.0,1.0,0.0,29.63746414088349,4.241335365289157,6.604706103545967,0.4161114591093757,2228.499061913696,71.22482087928567,0.6421686746987951,15.872444651445916,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1132,37009.3286285,389.867,42333.76525465656,4126.0,2161.0,0.523751817741154,316.8404418022403,2.2081,291.4489313716269,635343.0,154.0,3.0222,3294899.462836777,3,944.9030538051384,0.704,0.573,0.554,0.495,0.554,0.496,10.26024363903455,0.355,0.38,0.266,0.31,0.286,0.323,1.0,0.0,1.0,0.0,1.0,0.0,94.92808734388906,8.969783962312167,17.126019726284127,0.8742271897118603,1804.1045812124016,108.58514635672309,0.5237518177411536,19.589895999378324,0.11122423640427118,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1133,1121.90487992,5.15315,1597.0966858328372,182.0,95.0,0.521978021978022,188.6168775243501,0.5862,291.4489313716269,21617.9,118.8,0.9975,3294899.462836777,3,283.1401098901099,0.551,0.573,0.434,0.495,0.434,0.496,8.77525651556504,0.322,0.38,0.243,0.31,0.267,0.323,2.0,1.0,2.0,1.0,2.0,1.0,217.71244382950235,6.164312527032967,11.809525051789471,0.702465223221574,542.4368421052632,309.92629475812606,0.521978021978022,16.811544061398287,0.0,0.0,0
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1134,494.622713466,1.12099,628.8090491294282,69.0,28.0,0.405797101449275,119.73082593400764,0.5748,291.4489313716269,4432.2,64.2,0.8339,3294899.462836777,3,162.46231884057968,0.453,0.573,0.359,0.495,0.359,0.496,9.113174625064175,0.33,0.38,0.249,0.31,0.271,0.323,2.0,1.0,2.0,1.0,2.0,1.0,441.2374003925102,7.168445122695652,17.6650969095,0.7866024099856608,400.3535714285714,560.9408193912776,0.4057971014492754,22.457466040336723,0.8907563025210085,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1135,427.527218011,1.01968,416.8634387509583,41.0,20.0,0.48780487804878,169.43108421586197,0.5827,291.4489313716269,4588.4,111.9,1.1432,3294899.462836777,3,248.70243902439023,0.531,0.573,0.419,0.495,0.419,0.496,10.167400945145324,0.353,0.38,0.265,0.31,0.285,0.323,2.0,1.0,2.0,1.0,2.0,1.0,419.2758689108348,10.427493122219513,21.37636090055,1.025580989524995,509.84,408.817902431114,0.4878048780487805,20.843171937547915,0.9814814814814815,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1136,1062.91096627,1.65958,815.3241331223721,93.0,26.0,0.279569892473118,156.95531509534197,0.3643,291.4489313716269,6629.7,71.3,0.516,3294899.462836777,3,178.44946236559142,0.472,0.573,0.374,0.495,0.374,0.496,8.766926162606152,0.321,0.38,0.243,0.31,0.266,0.323,2.0,1.0,2.0,1.0,2.0,1.0,640.4698575965003,11.429150174946235,40.88119101038462,1.303666754226282,638.3,491.2834169623472,0.2795698924731182,31.35862050470662,0.976878612716763,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1137,2418.914498,2.87059,1008.946327741798,142.0,81.0,0.570422535211268,153.4028079351028,0.4275,291.4489313716269,11291.4,79.5,0.7839,3294899.462836777,3,202.1542253521127,0.496,0.573,0.392,0.495,0.392,0.496,7.105255829167592,0.274,0.38,0.21,0.31,0.24,0.323,2.0,1.0,2.0,1.0,2.0,1.0,842.654122671646,17.03460914084507,29.863141950617287,2.397465981578983,354.39382716049386,351.47698826436306,0.5704225352112676,12.45612750298516,0.9965870307167235,1.0,1
1420.0,Salvador,Salvador; Lauro de Freitas,Brazil,Latin America and the Caribbean,South America,1138,1301.12521591,4.12352,1505.0377991025166,163.0,72.0,0.441717791411043,205.65358597131888,0.6002,291.4489313716269,15245.9,93.5,0.8488,3294899.462836777,3,252.9766871165644,0.533,0.573,0.421,0.495,0.421,0.496,9.233360730690286,0.332,0.38,0.251,0.31,0.273,0.323,2.0,1.0,2.0,1.0,2.0,1.0,315.53750579844404,7.982363287791411,18.07118355430556,0.8645133143406009,572.7111111111112,364.9886017534817,0.4417177914110429,20.90330276531273,0.7546728971962616,1.0,1
