Country,Threshold,TotalSegments,RF_Deprived_Seg,SSI_Deprived_Seg,SpaceDef_Deprived_Seg,AnyPixel_Deprived_Seg,RF_Deprived_Pop,SSI_Deprived_Pop,SpaceDef_Deprived_Pop,AnyPixel_Deprived_Pop,Total_Pop,Status
kenya,0.2,6162,3419,4608,3226,4574,5982457.600518698,8876381.640797142,6309152.465902625,8773153.809202988,10892339.03186487,OK
kenya,0.3,6162,3419,4367,3015,4264,5982457.600518698,8280788.860188021,5570970.5585642345,7971444.277807139,10892339.03186487,OK
republic_of_congo,0.1,3955,3185,2789,2183,2788,2746524.208588925,3126861.656339008,2044497.5933782428,3126332.7449636078,4109466.966085707,OK
republic_of_congo,0.2,3955,3185,2744,2153,2732,2746524.208588925,2984901.163795542,1997261.995184822,2942381.508076028,4109466.966085707,OK
republic_of_congo,0.3,3955,3185,2678,2129,2669,2746524.208588925,2724499.289524054,1922841.5996607612,2711113.8566799583,4109466.966085707,OK
burkina_faso,0.1,5322,3465,5284,4736,5283,3050540.6835750965,5077578.85562098,4513616.591647005,5076721.095228455,5103500.920221765,OK
burkina_faso,0.2,5322,3465,5262,4603,5258,3050540.6835750965,5058332.548016237,4270436.01237512,5050040.280402376,5103500.920221765,OK
burkina_faso,0.3,5322,3465,5217,4456,5203,3050540.6835750965,5006525.786970261,4060813.5778721287,4985641.209338203,5103500.920221765,OK
cote_d_ivoire,0.1,8162,4529,6018,3580,6011,4754504.021874944,8320935.692534198,4995745.353715535,8307996.343677992,10639014.760486715,OK
cote_d_ivoire,0.2,8162,4529,5787,3333,5754,4754504.021874944,7902962.0174307395,4327930.8325256575,7810889.850837248,10639014.760486715,OK
cote_d_ivoire,0.3,8162,4529,5372,3071,5301,4754504.021874944,7333982.815260585,3609776.390626406,7206626.01327275,10639014.760486715,OK
ghana,0.1,12130,4457,11309,3219,11306,4999951.299804114,15238272.173728533,4427009.163006995,15232988.047688963,15943320.20250525,OK
ghana,0.2,12130,4457,11038,2893,11011,4999951.299804114,14812612.37596561,3661768.662675529,14703725.1332083,15943320.20250525,OK
